path	status	phase	baseline_sha256	current_sha256
database/journey-connect-db-v2.7/28_search_document_projection_smoke_test.sql	MODIFIED	IP11_9_RECONSTRUCTED_DELTA	8db01e52ddcdae6907b8200013dbaa533203cbab9494b6a16888b7c1badb3f3b	499e4f2e469f06705ecff574e8115eb32db021ac2e871cc0f1cf18c727e81617
jc-backend/build.gradle.kts	MODIFIED	IP12	fa073814ea796530b82b4b137f696ebb923162f83458bdac63530b721a392dee	90d81d6a789b736cc9bd511ec2e8647594a75265425ad31c37db30ce576e7c33
jc-backend/src/main/java/com/jc/backend/search/shadow/DisabledSearchShadowActivationCondition.java	MODIFIED	IP12	22db1facb257da3bd8fffc9a1872c8a364a31430792e7ccdb883a77c52863975	eb5cd7ed21ecfb6101e899485acffccee563eb88a65dda3aec616482d919e1db
jc-backend/src/main/java/com/jc/backend/search/shadow/production/DirectProductionSearchShadowExecutionPort.java	ADDED	IP12		6d8621a15f1b7280e6ea4abf437d9a9809f1d9b9d84de693b5d1bc0063f47cb8
jc-backend/src/main/java/com/jc/backend/search/shadow/production/MicrometerSearchShadowMetricSink.java	ADDED	IP12		a4475fee69735d4dfa0d83d97d8445a8caf3a653984f240a83ca83ec4d8e341c
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionExploreSearchShadowHook.java	ADDED	IP12		0e43a78ec1d5a6e88dbdee51160e72d4ac268f0dc1406a0120f9a84c92b681f7
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionExploreShadowRequestContextProvider.java	ADDED	IP12		757d6a6abdba8e0bf651d153fbfb96545ac82ca54d9ca39ea0a27b6134a4bfe5
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionInternalAccountHashResolver.java	ADDED	IP12		7aaefc6b392345456fc3169bb28adf433affeff8085950fee0decaabe42166d1
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowActivationDecision.java	ADDED	IP12		75b94818ae7a0a3973110cce709b5a37e717ea7a601e19073995f43493a90e7c
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowActivationReason.java	ADDED	IP12		1d32af06606bf4bc4f916664d8daf9913b02b824456065f48aa3e2f37e5b4a4c
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowConfiguration.java	ADDED	IP12		2b969aa0a9c84486b7cb44c6e566adf19a24c738d73d91837a689099ccc7e28f
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowOperationalGate.java	ADDED	IP12		dd7ccaadfd985da00f557928a3af229811d017e3510633007e31dc6eb9975539
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowOperationalLogger.java	ADDED	IP12		a9dbda11e59c12925defe58f8c98b34707b8c20a9664e72369e816a004828f02
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowProfileCondition.java	ADDED	IP12		a136835803d2b9f4c9b7b3257fc87efb9e0cfb25db640be4e56a81c043890c5b
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowProperties.java	ADDED	IP12		e2e7787bad98343907abbca7d51327e3e69830cfcd0cb5f94804a6f9e88c2560
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowPropertiesValidator.java	ADDED	IP12		aca6f2975cdee51b9fd6016e882caf7b1d6a748316e3cc83bc94e6e4ffb75840
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowRuntimeConfig.java	ADDED	IP12		a7ac7c5a2731dcf62ff6796dd8884a69507c3a8b0de4461494360d23b4473a10
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowSamplingGate.java	ADDED	IP12		c277c6f81ee643c45cdeec192674d59711bb62a0de7e8e5cf0dfa12866ae0aa8
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowTechnicalConfiguration.java	MODIFIED	IP12	9507ba8160aff5ae001db96a16797ca2e280a8c6a1f74802fb4669f1dfc5b951	f55c0b48cdc28775f9e4a2432f1dc401d9742950eba745c1b9982571ce486029
jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionShadowDefaultCapabilityCondition.java	ADDED	IP12		049b56796a364c18a6e2909bb0e4eb5964e008bc65f3e5677c63e5f23c70602e
jc-backend/src/main/java/com/jc/backend/search/shadow/production/SecurityContextProductionInternalAccountHashResolver.java	ADDED	IP12		9a359f1eb93e7fb6222d187c002ead648e6d0893c3a2d1f1a42c56ef503f8761
jc-backend/src/main/resources/application-prod.yml	ADDED	IP12		f4b9029690ddacbf1b93a324682c24a8bcc4994e2e7c0ac97ffe3f4490d9ba1e
jc-backend/src/main/resources/application-production.yml	ADDED	IP12		f4b9029690ddacbf1b93a324682c24a8bcc4994e2e7c0ac97ffe3f4490d9ba1e
jc-backend/src/test/java/com/jc/backend/search/shadow/production/IP115ProductionShadowStaticTest.java	MODIFIED	IP11_9_RECONSTRUCTED_DELTA	297fcd0000ec7b4686bb4b6c459ec4995a213f32e7ad6b236681deed69443f72	baceda3f998a5cfd57ccbb8e8522a0e14931c8085c2f66bd7e46ef6fe0c25c8b
jc-backend/src/test/java/com/jc/backend/search/shadow/production/IP12ProductionShadowStaticTest.java	ADDED	IP12		2a025f2b5eea060e262898998b440a29fe3de222ef492edc3042ad4719452803
jc-backend/src/test/java/com/jc/backend/search/shadow/production/MicrometerSearchShadowMetricSinkTest.java	ADDED	IP12		f496703e58e7e7d17a4279ac6be513cbaa3ca9d62f8ab0423227dd760d676e42
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionInternalAccountHashResolverTest.java	ADDED	IP12		9db63a78cf5b596993f50a775daa7ff629cbf48af240b7e0403b6f5044d77172
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionProjectionAndEligibilityContractTest.java	MODIFIED	IP11_9_RECONSTRUCTED_DELTA	3033bc71429c5204787d07a2ecd36fa81c1a243b7d11bf8278b4e5bee4361b9b	235f75715147bb568c73f2015dbe82f3b5232846708b1a1523fff951a5ff5870
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionSearchShadowConfigurationTest.java	ADDED	IP12		a86f1b751bc5b5f851aa9368986c72ddc53a316e5013c14238672b7bc816bc11
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionSearchShadowDisableDrillTest.java	ADDED	IP12		fe3bab943fd9355e354572d7e47cde7f1f71d1166b133610bc171f1a2e28c109
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionSearchShadowPropertiesTest.java	ADDED	IP12		682bc7a89ddd789fe63277f2a83a13951dba83f9d6e381050f6fd7f4f6ef7238
jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionSearchShadowResourceIsolationTest.java	ADDED	IP12		9ff0543a337e7c830995c2f589d49f38488ed35dc5d4c965e61c4472962e8314
