decision	value	status
sql_allocation	38_42	IMPLEMENTED
roles	projection_writer_reader_function_owner	IMPLEMENTED
profile_contract	recommendation-profile-input-v1_shadow_only	IMPLEMENTED
outcome_contract	experiment-outcome-input-v1_shadow_only	IMPLEMENTED
p2_exposure_authority	recommendation_p2_experiment_exposure	PROTECTED
source_timestamp_authority	canonical_adapter_p2_rows	FAIL_CLOSED
identity_binding_conflict	stable_failure	FAIL_CLOSED
projection_as_of_boundary	source_before_as_of	FAIL_CLOSED
record_lineage_reconciliation	count_and_fingerprint	IMPLEMENTED
outcome_aggregation_reconciliation	authority_type_window_flags	IMPLEMENTED
validated_code_head	1dad0d84ffcfacfc56a880e1296ef9430c2d43ed	PASS
final_verdict	DP5_IMPLEMENTATION_COMPLETE	FINAL
