path	baseline_sha256	current_sha256	status
jc-backend/build.gradle.kts	fa073814ea796530b82b4b137f696ebb923162f83458bdac63530b721a392dee	fa073814ea796530b82b4b137f696ebb923162f83458bdac63530b721a392dee	PASS
jc-backend/gradle/wrapper/gradle-wrapper.jar	7d3a4ac4de1c32b59bc6a4eb8ecb8e612ccd0cf1ae1e99f66902da64df296172	7d3a4ac4de1c32b59bc6a4eb8ecb8e612ccd0cf1ae1e99f66902da64df296172	PASS
jc-backend/gradle/wrapper/gradle-wrapper.properties	5f705adaa45c1b4941763e0cb0fde5f2435c7ccbe2feafba9f3659a23a4f2ca5	5f705adaa45c1b4941763e0cb0fde5f2435c7ccbe2feafba9f3659a23a4f2ca5	PASS
jc-backend/gradlew	b187b4c52e749f5760afdd6fadc31b2a98ad35fb249bf0dff03b72650f320409	b187b4c52e749f5760afdd6fadc31b2a98ad35fb249bf0dff03b72650f320409	PASS
jc-backend/gradlew.bat	1d297e00bd21de3ace22b4d7f2de1f9dfa858883d66bbf7c1ccbecccec8f4f3b	1d297e00bd21de3ace22b4d7f2de1f9dfa858883d66bbf7c1ccbecccec8f4f3b	PASS
jc-backend/settings.gradle.kts	f33046d120f3573daa0240d3dcf67be2a8044d78669ec36a26c90648714cd924	f33046d120f3573daa0240d3dcf67be2a8044d78669ec36a26c90648714cd924	PASS
jc-intelligence-contracts/build.gradle.kts	904eea33ce9d611720f3693a85aa4f2840deba7830dde8240c088290e4d29ec6	904eea33ce9d611720f3693a85aa4f2840deba7830dde8240c088290e4d29ec6	PASS
jc-recommendation-core/build.gradle.kts	c2486368c9810ab64ae7a205a239b8d6832e27f6d59a2871cd6e4335920f78e5	c2486368c9810ab64ae7a205a239b8d6832e27f6d59a2871cd6e4335920f78e5	PASS
jc-search-compatibility/build.gradle.kts	56e589141c3df60d1dbbb463e6f44cc95dbc0e2fc83f3c17a8e2503945dc2d66	56e589141c3df60d1dbbb463e6f44cc95dbc0e2fc83f3c17a8e2503945dc2d66	PASS
jc-search-contracts/build.gradle.kts	8489073ef246e28b69e2a89107275ed3315f75865514ca4d5f3d471babb7c22b	8489073ef246e28b69e2a89107275ed3315f75865514ca4d5f3d471babb7c22b	PASS
jc-search-integration/build.gradle.kts	6a9198689eeaf3e703a2503be5dbad7b5422ba0bc94bfd28f472274d72b71195	6a9198689eeaf3e703a2503be5dbad7b5422ba0bc94bfd28f472274d72b71195	PASS
jc-search-production-controls/build.gradle.kts	54a207ee4e3170d6be2087b08d54141164907cdfa210c078b92447031a96cb27	54a207ee4e3170d6be2087b08d54141164907cdfa210c078b92447031a96cb27	PASS
jc-search-readiness/build.gradle.kts	dee950703ee2325a987d74e235d639195e8b9d8f854e9e7cc1bc9050ea0da275	dee950703ee2325a987d74e235d639195e8b9d8f854e9e7cc1bc9050ea0da275	PASS
jc-search-runtime/build.gradle.kts	f5a1ffaafcfd9caf29ede63bc622af241ab52d722748cac46a1ea26cd6f274a6	f5a1ffaafcfd9caf29ede63bc622af241ab52d722748cac46a1ea26cd6f274a6	PASS
jc-search-shadow-wiring/build.gradle.kts	5f749cd0293c419eafaae3009b6778e4b6f80108051ff2e07c4490cb06982c0f	5f749cd0293c419eafaae3009b6778e4b6f80108051ff2e07c4490cb06982c0f	PASS
