path	status	baseline_sha256	current_sha256
docs/platform/intelligence/IP-11-5-GO-NO-GO-DELTA.md	MODIFIED	1ecbdb1662b829de17b9b368f092740912b4b06747f9aec4533b546dc491104d	f53d6e866895819ca38223f5ddbb2e3278abb58fa3170f612a627fa6656cc7a2
docs/platform/intelligence/IP-11-5-HANDOFF.md	MODIFIED	254f8d4800632a04e7a34d5b20d03f9818b370eb349c2788154b504b612d5241	f3580ca0e66b37e2cadd36998e24de66b686c096869b786515d71a003bf67698
docs/platform/intelligence/IP-11-5-PRIVACY-SAFE-EVIDENCE-CONTRACT.md	MODIFIED	ff3462c2d49a6d0ebe7ae61495b3bc39ec9d3ea38118fd92a672c0b12bb6d543	5afd0eaae4ef96e32c143acaa4f8c90f457186aab3f704be441c4d06eb02cfe3
docs/platform/intelligence/IP-11-5-RESOURCE-BUDGET-AND-OBSERVABILITY-CONTRACT.md	MODIFIED	50d2eddef0b766e68b16b80dcb706d902745e16af81175f655774aa8f2deed82	dc823a1f8a29a6a6dd1f29411d93c02cc0bdf7426f65e5c3beb399f165de5135
docs/platform/intelligence/IP-11-75-APPROVED-OWNER-RACI-AND-AUTHORITY.md	ADDED		044501600253d28ae07db969ea8deeb0a82c9f67e95da8b73fae035fa87d9d96
docs/platform/intelligence/IP-11-75-GO-NO-GO-RECLASSIFICATION.md	ADDED		23f89b3e101619c10c766e150ce2d488a7d895bf0a5e8ba57f74dca91e4a09f8
docs/platform/intelligence/IP-11-75-GOVERNANCE-DECISION-CLOSURE.md	ADDED		c3ef894feaeee61a45eef0e2190b77b460460153353e440e2541be2ecdc75d40
docs/platform/intelligence/IP-11-75-HANDOFF.md	ADDED		038898619f41a821ec8e2ad3ace3b11ec908e255d869511d090cd65fe3c1dfd5
docs/platform/intelligence/IP-11-75-OBSERVABILITY-AND-OPERATIONAL-READINESS.md	ADDED		6f5b112dd268b828ea683133aa095ba1a026c24c94a9f8e84a2561ba6b6fb744
docs/platform/intelligence/IP-11-75-RESOURCE-SAMPLING-AND-COHORT-APPROVAL.md	ADDED		8a54b291b688c6a704c40ff0621608e9103278b95fe60372761d02fbbe160ff3
docs/platform/intelligence/IP-11-75-RETENTION-PRIVACY-AND-ACCESS-POLICY.md	ADDED		71d3e40fbe6da611b6e4f7abaebc3bf86a62efbb324f7ed7fbaa0671a2651beb
docs/platform/intelligence/IP-11-75-VERIFICATION-AND-SELF-REVIEW.md	ADDED		6dad518bb4d46c7344ccb6e7f1620636bd7de757e38841a45134fbc69d1230cb
docs/platform/intelligence/IP-11-EMERGENCY-DISABLE-AND-ROLLBACK-RUNBOOK.md	MODIFIED	c5c937f584fcd714cf48e4245c67ced991063301b81abda1eb51f38a88a55140	f715fdaeed586b9ab1cde4b0068aab4704894413f749f90f45f8b8da164d9052
docs/platform/intelligence/IP-11-GO-NO-GO-MATRIX.md	MODIFIED	46d9e9b02445cfdc2caa58b4855179178de1e0c62d07cd8348bc56e1c2f716e2	e4198e7c14a0abcdd27d9486bf805f2bdf0371bac2b0b715524916374735c57f
docs/platform/intelligence/IP-11-HANDOFF.md	MODIFIED	6d0655b95b514c21ac41b03394d81dc149eb088971cf2f906490f2a3849ad3fb	00425e7ac03e26643526f96159fccda0b7b61b403dd458311d514797bd0e691c
docs/platform/intelligence/IP-11-PRIVACY-SECURITY-RETENTION-AND-OBSERVABILITY.md	MODIFIED	4088d82f01527b62595e4e8fbe94e6ad1c7b3b9ddc5130626bd725ae1ea5889a	660cec6b712f7438822f8191f8bc0ce5a33ec6a2b902f42b7b7bdd8c96324cf8
docs/platform/intelligence/IP-11-PRODUCTION-SHADOW-ACTIVATION-GOVERNANCE-CONTRACT.md	MODIFIED	e7e27ede6befc39e2892266fff836af1a14b96478329ee6d75d41ea6e69fb165	23f1d228608734ae5c61114ccac06e40ff163f99d4d42e70a73b196548f9c8cb
docs/platform/intelligence/IP-11-PRODUCTION-SHADOW-OWNER-DECISION-PACKET.md	MODIFIED	2f93025ad0fb6df7b2e711f338243d293ce022b8d3519e7dd652fa34c7b186f8	431dee2f5a6a9c8a2897415581a387f283880ef53e924dd9436f02242e44f45f
docs/platform/intelligence/IP-11-RACI-AND-OPERATING-AUTHORITY.md	MODIFIED	3a74c08059c2a31c06eb6893c9ef154c95b580d2c9212e1e40b31d2e7c50442a	e7306462b503d232fe48a449f294d823c0d184fd5ee13e0d1620c6d03f5011cd
docs/platform/intelligence/IP-11-RUNTIME-INPUT-RESOURCE-AND-SAMPLING-BUDGET.md	MODIFIED	c5784f37023c3d9d7589d4566fdb5c64f75b97d1181194e9d91a1d628621cdfc	0ef4be6988328fa0e93f3f351d5aba0b01c913b2d561c83fa9f81ea03c29642d
docs/platform/intelligence/IP-11-VERIFICATION-AND-SELF-REVIEW.md	MODIFIED	b91192131d2eaf16ef79becd47c79c85ae0bb0eea9b07bad790392d718440af6	f128a52f679d3b4210fd353e4d0344cdff1447ab7d91b10b9ef0a4520de69529
docs/platform/intelligence/README.md	MODIFIED	e4a736b325fac8192da65f0463077efd94e17a78a91d5a9c5b877f45be289728	99c2877d27f35fa75eb26ddcaaac7a518822cb9040be2468629a88a76e5144fd
verification/ip11-75/IP1175_APPROVED_POLICY_SUMMARY.txt	ADDED		6fc3585235bdb29ebf3edbf3127e3df2ca58f77fe81ebcefc9fd3ac2dd448a49
