path	status	work_start_sha
docs/platform/governance/sc-next-track/SC-5-RCA-2-ENTRY-AUTHORIZATION-AND-EXECUTION-BOUNDARY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/38-SC-RCA2-RUNTIME-ENVIRONMENT-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/39-SC-RCA2-RUNTIME-MODEL-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/40-SC-RCA2-FEATURE-FLAG-AND-TRAFFIC-POLICY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/41-SC-RCA2-PRIMARY-SHADOW-AUTHORITY-CONTRACT.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/42-SC-RCA2-TIMEOUT-FALLBACK-CIRCUIT-BREAKER-POLICY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/43-SC-RCA2-CREDENTIAL-AND-NETWORK-BOUNDARY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/44-SC-RCA2-RUNTIME-QUERY-BOUNDARY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/45-SC-RCA2-IDENTITY-AND-PRIVACY-GOVERNANCE.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/46-SC-RCA2-P1-RUNTIME-DARK-READ-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/47-SC-RCA2-P2-RUNTIME-DARK-READ-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/48-SC-RCA2-CHECKPOINT-LINEAGE-FRESHNESS-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/49-SC-RCA2-OBSERVABILITY-METRIC-LOGGING-POLICY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/50-SC-RCA2-ALERT-AND-KILL-SWITCH-POLICY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/51-SC-RCA2-DEPLOYMENT-AND-ROLLBACK-POLICY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/52-SC-RCA2-DB-SQL-IMPACT-DECISION.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/53-SC-RCA2-OPERATIONS-RELIABILITY-APPROVAL-MATRIX.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/54-SC-RCA2-VERIFICATION-PLAN.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/55-SC-RCA2-EXIT-CRITERIA-AND-AUTHORITY-TRANSFER-BOUNDARY.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
docs/platform/governance/sc-next-track/56-RCA-2-IMPLEMENTATION-HANDOFF-PROMPT.md	REQUIRED	3efbf96ebf25ae1645a62f35269c4b569425a9ca
